Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,27,0.7881391879972747,19.829751616907327,0.04340304277900767,752.9406063102613,26.06123954327303
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,27,0.7095634382097731,20.272737042045442,0.043221769810374996,924.1835524017315,28.071744833793968
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,27,0.7017438828459714,20.17770134680135,0.043704446944055474,989.4795950986052,30.14658650566138
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,27,0.6661151070582653,21.69555315055315,0.047738464689976445,1149.51107984608,32.65066690465111
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,27,-1.1577615807455493e+17,10226138006.789722,22955316.434303198,5.0479324229895166e+20,14933718280.515257
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,29,0.8503353067910964,17.218433480863904,0.037445312593463106,594.9541035291196,22.22675227053696
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,29,0.8503329652330485,17.219869144495622,0.037448830280280024,595.0138241634772,22.22810309893016
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,29,0.8300569546259846,17.804169483510154,0.038846938785792734,707.9129478213104,23.97613421612029
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,29,0.8136219951558517,16.801628451286913,0.036498477865415956,641.931773002909,23.232320116794167
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,29,0.8096195836180768,18.15329684390246,0.0397569555908064,747.6110276766555,24.915662463849653
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,29,0.7952864360642387,19.755432348844852,0.04323250943194077,759.9934159692424,26.131156077092434
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,29,0.7741743789802905,19.913461782573684,0.04408951322499534,857.2215019168183,26.777588212203227
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,29,0.7736484841153469,19.643848577060112,0.04309855514525894,818.2392569140335,25.621155314541078
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,29,0.7041949957686817,20.04724290894291,0.044183178389616724,843.7655480805861,27.294091705626542
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,29,0.6420321545597727,21.003007233169395,0.04449788114457419,1056.427615454494,29.96117240556683
